step 0: train loss 10.9886, val loss 10.9898
iter 3750: loss 3.6619, time 3500.65ms, mfu 15.65%
iter 3760: loss 3.6121, time 3532.99ms, mfu 15.61%
iter 3770: loss 3.6789, time 3789.38ms, mfu 15.47%
iter 3780: loss 3.7159, time 3779.21ms, mfu 15.35%
iter 3790: loss 3.3503, time 3737.90ms, mfu 15.25%
iter 3800: loss 3.6370, time 3650.71ms, mfu 15.20%
iter 3810: loss 3.5815, time 3551.75ms, mfu 15.20%
iter 3820: loss 3.5882, time 3293.22ms, mfu 15.31%
iter 3830: loss 3.8638, time 3324.20ms, mfu 15.40%
iter 3840: loss 3.5336, time 3480.43ms, mfu 15.41%
iter 3850: loss 3.6316, time 3452.99ms, mfu 15.43%
iter 3860: loss 3.6780, time 3485.97ms, mfu 15.43%
iter 3870: loss 3.7045, time 3530.85ms, mfu 15.41%
iter 3880: loss 3.5742, time 3793.14ms, mfu 15.29%
iter 3890: loss 3.5859, time 3780.51ms, mfu 15.19%
iter 3900: loss 3.7316, time 3783.97ms, mfu 15.09%
iter 3910: loss 3.6263, time 3676.19ms, mfu 15.05%
iter 3920: loss 3.8055, time 3636.17ms, mfu 15.03%
iter 3930: loss 3.7558, time 3635.40ms, mfu 15.00%
iter 3940: loss 3.5671, time 3569.67ms, mfu 15.01%
iter 3950: loss 3.7560, time 3295.85ms, mfu 15.15%
iter 3960: loss 3.6494, time 3291.74ms, mfu 15.27%
iter 3970: loss 3.6342, time 3326.44ms, mfu 15.36%
iter 3980: loss 3.5929, time 3296.11ms, mfu 15.46%
iter 3990: loss 3.1829, time 3352.87ms, mfu 15.52%
step 4000: train loss 3.5960, val loss 3.5851
saving checkpoint to out
iter 4000: loss 3.5075, time 27241.93ms, mfu 14.16%
iter 4010: loss 3.4246, time 3618.42ms, mfu 14.24%
iter 4020: loss 3.6049, time 3535.83ms, mfu 14.34%
iter 4030: loss 3.6321, time 3546.26ms, mfu 14.42%
iter 4040: loss 3.6401, time 3523.68ms, mfu 14.51%
iter 4050: loss 3.4736, time 3525.47ms, mfu 14.59%
iter 4060: loss 3.5825, time 3549.47ms, mfu 14.64%
iter 4070: loss 3.4141, time 3296.67ms, mfu 14.81%
iter 4080: loss 3.5322, time 3312.40ms, mfu 14.96%
iter 4090: loss 3.5394, time 3406.43ms, mfu 15.04%
iter 4100: loss 3.5633, time 3444.73ms, mfu 15.10%
iter 4110: loss 3.4062, time 3510.17ms, mfu 15.13%
iter 4120: loss 3.7216, time 3766.05ms, mfu 15.04%
iter 4130: loss 3.3919, time 3776.99ms, mfu 14.97%
iter 4140: loss 3.6283, time 3618.99ms, mfu 14.96%
iter 4150: loss 3.4803, time 3576.53ms, mfu 14.97%
iter 4160: loss 3.4861, time 3300.41ms, mfu 15.10%
iter 4170: loss 3.5334, time 3312.86ms, mfu 15.22%
iter 4180: loss 3.5746, time 3430.73ms, mfu 15.27%
iter 4190: loss 3.6043, time 3466.00ms, mfu 15.29%
iter 4200: loss 3.5430, time 3696.74ms, mfu 15.22%
iter 4210: loss 3.3897, time 3785.21ms, mfu 15.12%
iter 4220: loss 3.6871, time 3789.40ms, mfu 15.03%
iter 4230: loss 3.5397, time 3768.08ms, mfu 14.96%
iter 4240: loss 3.6092, time 3629.79ms, mfu 14.95%
iter 4250: loss 3.6211, time 3633.95ms, mfu 14.93%
iter 4260: loss 3.5786, time 3300.56ms, mfu 15.07%
iter 4270: loss 3.7728, time 3296.44ms, mfu 15.20%
iter 4280: loss 3.6076, time 3786.42ms, mfu 15.10%
iter 4290: loss 3.6143, time 3775.61ms, mfu 15.02%
iter 4300: loss 3.5586, time 3775.11ms, mfu 14.94%
iter 4310: loss 3.6631, time 3715.96ms, mfu 14.90%
iter 4320: loss 3.5286, time 3667.60ms, mfu 14.88%
